Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Included / European Union,Price / European Union,Compare At Price / European Union,Included / International,Price / International,Compare At Price / International,Status
creamy-sofa-for-small-apartments-ideal-for-clothing-stores-homestays-and-card-seats,Creamy Sofa for Small Apartments: Ideal for Clothing Stores Homestays and Card Seats,"<p>Our Products are made to order: </p>
<p>Products are handcrafted in our factories which means it takes around 10-12 weeks for you to receive your furniture. We do keep our customers informed every step of the way until your furniture reaches your door. </p>
<p><strong>Please read before placing an order:</strong></p>
<p><strong>Unfortunately we are unable to ship to remote islands</strong> (e.g., Hawaii or Alaska) we can only ship <strong>US Mainland</strong>. Please do <strong>NOT</strong> place an order if you are from a remote region or a segregated island. If you’re from <strong>another</strong> country, live on the mainland and interested in our products, please send us an <strong>email</strong> as we will most likely be able to ship to you. Delivery to the USA is <strong>$99 per piece</strong> and this includes customs charges / taxes/ door to door delivery.</p>
<p><strong>For products such as a 3 seater + 2 seater, these will be treated as 2 pieces. Therefore, the delivery charge will be charged twice.</strong></p>
<p>Please ensure you pick the correct variation of the product you want, please read through the description below. If you have any questions, please Email contact@clearance-furniture.com </p>
<p><strong>Pictures below can be translated using <a href=""https://lens.google/"" target=""_blank"">Google Lens</a> on your phone, simply download the app, take the picture that requires translation and press” translate”.</strong> </p>
<p><strong>Please note due to catalogue integration some of the options may come as” free upstairs delivery” ‘’trial’’ ‘’try free for 30 days’’ this will not be the case and product will only be shipped to your door. In addition, each variant is linked with a product picture which generally shows what you will be buying. The product price should differ depending on what variant you have chosen, if this doesn't happen please email contact@clearance-furniture.com. </strong> </p>
<p>You can view our warranty / returns policy from our menu above.</p>
<table>
<tbody>
<tr>
<td data-row=""1"">brand</td>
<td data-row=""1"">Love Shang Shuya</td>
</tr>
<tr>
<td data-row=""2"">model</td>
<td data-row=""2"">ZY-02</td>
</tr>
<tr>
<td data-row=""3"">material</td>
<td data-row=""3"">Wood</td>
</tr>
<tr>
<td data-row=""4"">wooden material</td>
<td data-row=""4"">pine wood</td>
</tr>
<tr>
<td data-row=""5"">the fabric</td>
<td data-row=""5"">composite fabric</td>
</tr>
<tr>
<td data-row=""6"">pattern</td>
<td data-row=""6"">Art</td>
</tr>
<tr>
<td data-row=""7"">style</td>
<td data-row=""7"">nordic</td>
</tr>
<tr>
<td data-row=""8"">how many people sit</td>
<td data-row=""8"">Single person 85cm☺ Double person 120cm☺ Big double person 140cm☺ Three person 160cm☺ Big three person 180cm☺ Four person 210cm☺</td>
</tr>
<tr>
<td data-row=""9"">popular elements</td>
<td data-row=""9"">folklore</td>
</tr>
<tr>
<td data-row=""10"">sort by color</td>
<td data-row=""10"">Excellence white type A-skin-friendly flannel Ω [environmental protection and high resilience sponge] Creamy apricot-skin-friendly flannel Ω [environmental protection and high resilience sponge] Champagne yellow-skin-friendly flannel Ω [environmental protection and high resilience sponge] Malachite green-skin-friendly flannel Ω [environmentally friendly high-resilience sponge] Business black-skin-friendly flannelette Ω [environmental-friendly high-resilience sponge] Girly pink type A-skin-friendly flannelette Ω【environmentally friendly high-resilience sponge] Advanced gray A type-skin-friendly flannelette Ω【high environmental protection Resilience sponge] Lake green type A-skin-friendly flannelette Ω【environmentally friendly high-resilience sponge】 milk tea color type A-technical cloth Ω【environmental high-resilience sponge】 milk tea with dark green-technical cloth Ω【environmental high-resilience sponge】 Pink and dark green-technology cloth Ω [environmental protection high resilience sponge] Pink type A-technology cloth Ω [environmental protection high resilience sponge] pink and orange-technology cloth Ω [environmental protection high resilience sponge] dark green A type-technology Cloth Ω【Environmental Protection High Resilience Sponge】Mixed Dark Green-Technology Cloth Ω【Environmental Protection High Resilience Sponge】Ginger Yellow Type A-Technology Cloth Ω【Environmental Protection High Resilience Sponge】Dark Gray Type A-Technology Cloth Ω【Environmental Protection High Rebound Sponge] Dark Green and Orange-Technology Cloth Ω [Environmental Protection High Resilience Sponge] Rice Combination Orange-Technology Cloth Ω [Environmental Protection High Resilience Sponge] Black-Technology Cloth Ω [Environmental Protection High Resilience Sponge] Orange A Type -Science and Technology Cloth Ω【Environmental Protection High Resilience Sponge】Beige Type A-Technology Cloth Ω【Environmental Protection and High Resilience Sponge】Light Blue Type A-Technology Cloth Ω【Environmental Protection High Resilience Sponge】Light Gray Type A-Technology Cloth Ω【 Environmentally friendly high resilience sponge] Customized color A type upgraded latex cushion [consult customer service] Advanced gray type B-velvet girl pink type B-velvet</td>
</tr>
<tr>
<td data-row=""11"">filler</td>
<td data-row=""11"">sponge</td>
</tr>
<tr>
<td data-row=""12"">Structural process</td>
<td data-row=""12"">wood craft</td>
</tr>
<tr>
<td data-row=""13"">wooden structure craft</td>
<td data-row=""13"">other</td>
</tr>
<tr>
<td data-row=""14"">Whether it can be customized</td>
<td data-row=""14"">yes</td>
</tr>
<tr>
<td data-row=""15"">sofa combination form</td>
<td data-row=""15"">L-shaped</td>
</tr>
<tr>
<td data-row=""16"">Is it removable and washable</td>
<td data-row=""16"">no</td>
</tr>
<tr>
<td data-row=""17"">Additional features</td>
<td data-row=""17"">it can move</td>
</tr>
<tr>
<td data-row=""18"">Suitable</td>
<td data-row=""18"">adult</td>
</tr>
<tr>
<td data-row=""19"">Whether with storage space</td>
<td data-row=""19"">no</td>
</tr>
<tr>
<td data-row=""20"">Fabric Finishing Technology</td>
<td data-row=""20"">washed</td>
</tr>
<tr>
<td data-row=""21"">Available for delivery/installation</td>
<td data-row=""21"">Others Beijing, Chongqing, Shanghai, Tianjin, Shenzhen, Chengdu, Shenyang, Dalian, Harbin, Nanjing, Wuxi, Changzhou, Suzhou, Hangzhou, Ningbo, Wenzhou, Jinhua, Taizhou, Fuzhou, Xiamen, Nanchang, Qingdao, Zhengzhou, Wuhan, Changsha, Guangzhou, Foshan City Dongguan City Nanning City Guiyang City Xi'an City</td>
</tr>
<tr>
<td data-row=""22"">place of origin</td>
<td data-row=""22"">Zhejiang Province</td>
</tr>
<tr>
<td data-row=""23"">city</td>
<td data-row=""23"">hangzhou city</td>
</tr>
<tr>
<td data-row=""24"">Whether to assemble</td>
<td data-row=""24"">yes</td>
</tr>
<tr>
<td data-row=""25"">package volume</td>
<td data-row=""25"">0.69</td>
</tr>
<tr>
<td data-row=""26"">Is it available for pre-sale</td>
<td data-row=""26"">yes</td>
</tr>
<tr>
<td data-row=""27"">whether the taxi can transport</td>
<td data-row=""27"">yes</td>
</tr>
<tr>
<td data-row=""28"">Filling hardness</td>
<td data-row=""28"">soft</td>
</tr>
<tr>
<td data-row=""29"">Style positioning</td>
<td data-row=""29"">Quality Luxury</td>
</tr>
<tr>
<td data-row=""30"">Installation Instructions Details</td>
<td data-row=""30"">Provide installation instructions Provide simple installation tools</td>
</tr>
<tr>
<td data-row=""31"">brand</td>
<td data-row=""31"">Love Shang Shuya</td>
</tr>
<tr>
<td data-row=""32"">model</td>
<td data-row=""32"">ZY-02</td>
</tr>
<tr>
<td data-row=""33"">material</td>
<td data-row=""33"">Wood</td>
</tr>
<tr>
<td data-row=""34"">wooden material</td>
<td data-row=""34"">pine wood</td>
</tr>
<tr>
<td data-row=""35"">the fabric</td>
<td data-row=""35"">composite fabric</td>
</tr>
<tr>
<td data-row=""36"">pattern</td>
<td data-row=""36"">Art</td>
</tr>
<tr>
<td data-row=""37"">style</td>
<td data-row=""37"">nordic</td>
</tr>
<tr>
<td data-row=""38"">how many people sit</td>
<td data-row=""38"">Single person 85cm☺ Double person 120cm☺ Big double person 140cm☺ Three person 160cm☺ Big three person 180cm☺ Four person 210cm☺</td>
</tr>
<tr>
<td data-row=""39"">popular elements</td>
<td data-row=""39"">folklore</td>
</tr>
<tr>
<td data-row=""40"">sort by color</td>
<td data-row=""40"">Excellence white type A-skin-friendly flannel Ω [environmental protection and high resilience sponge] Creamy apricot-skin-friendly flannel Ω [environmental protection and high resilience sponge] Champagne yellow-skin-friendly flannel Ω [environmental protection and high resilience sponge] Malachite green-skin-friendly flannel Ω [environmentally friendly high-resilience sponge] Business black-skin-friendly flannelette Ω [environmental-friendly high-resilience sponge] Girly pink type A-skin-friendly flannelette Ω【environmentally friendly high-resilience sponge] Advanced gray A type-skin-friendly flannelette Ω【high environmental protection Resilience sponge] Lake green type A-skin-friendly flannelette Ω【environmentally friendly high-resilience sponge】 milk tea color type A-technical cloth Ω【environmental high-resilience sponge】 milk tea with dark green-technical cloth Ω【environmental high-resilience sponge】 Pink and dark green-technology cloth Ω [environmental protection high resilience sponge] Pink type A-technology cloth Ω [environmental protection high resilience sponge] pink and orange-technology cloth Ω [environmental protection high resilience sponge] dark green A type-technology Cloth Ω【Environmental Protection High Resilience Sponge】Mixed Dark Green-Technology Cloth Ω【Environmental Protection High Resilience Sponge】Ginger Yellow Type A-Technology Cloth Ω【Environmental Protection High Resilience Sponge】Dark Gray Type A-Technology Cloth Ω【Environmental Protection High Rebound Sponge] Dark Green and Orange-Technology Cloth Ω [Environmental Protection High Resilience Sponge] Rice Combination Orange-Technology Cloth Ω [Environmental Protection High Resilience Sponge] Black-Technology Cloth Ω [Environmental Protection High Resilience Sponge] Orange A Type -Science and Technology Cloth Ω【Environmental Protection High Resilience Sponge】Beige Type A-Technology Cloth Ω【Environmental Protection and High Resilience Sponge】Light Blue Type A-Technology Cloth Ω【Environmental Protection High Resilience Sponge】Light Gray Type A-Technology Cloth Ω【 Environmentally friendly high resilience sponge] Customized color A type upgraded latex cushion [consult customer service] Advanced gray type B-velvet girl pink type B-velvet</td>
</tr>
<tr>
<td data-row=""41"">filler</td>
<td data-row=""41"">sponge</td>
</tr>
<tr>
<td data-row=""42"">Structural process</td>
<td data-row=""42"">wood craft</td>
</tr>
<tr>
<td data-row=""43"">wooden structure craft</td>
<td data-row=""43"">other</td>
</tr>
<tr>
<td data-row=""44"">Whether it can be customized</td>
<td data-row=""44"">yes</td>
</tr>
<tr>
<td data-row=""45"">sofa combination form</td>
<td data-row=""45"">L-shaped</td>
</tr>
<tr>
<td data-row=""46"">Is it removable and washable</td>
<td data-row=""46"">no</td>
</tr>
<tr>
<td data-row=""47"">Additional features</td>
<td data-row=""47"">it can move</td>
</tr>
<tr>
<td data-row=""48"">Suitable</td>
<td data-row=""48"">adult</td>
</tr>
<tr>
<td data-row=""49"">Whether with storage space</td>
<td data-row=""49"">no</td>
</tr>
<tr>
<td data-row=""50"">Fabric Finishing Technology</td>
<td data-row=""50"">washed</td>
</tr>
<tr>
<td data-row=""51"">Available for delivery/installation</td>
<td data-row=""51"">Others Beijing, Chongqing, Shanghai, Tianjin, Shenzhen, Chengdu, Shenyang, Dalian, Harbin, Nanjing, Wuxi, Changzhou, Suzhou, Hangzhou, Ningbo, Wenzhou, Jinhua, Taizhou, Fuzhou, Xiamen, Nanchang, Qingdao, Zhengzhou, Wuhan, Changsha, Guangzhou, Foshan City Dongguan City Nanning City Guiyang City Xi'an City</td>
</tr>
<tr>
<td data-row=""52"">place of origin</td>
<td data-row=""52"">Zhejiang Province</td>
</tr>
<tr>
<td data-row=""53"">city</td>
<td data-row=""53"">hangzhou city</td>
</tr>
<tr>
<td data-row=""54"">Whether to assemble</td>
<td data-row=""54"">yes</td>
</tr>
<tr>
<td data-row=""55"">package volume</td>
<td data-row=""55"">0.69</td>
</tr>
<tr>
<td data-row=""56"">Is it available for pre-sale</td>
<td data-row=""56"">yes</td>
</tr>
<tr>
<td data-row=""57"">whether the taxi can transport</td>
<td data-row=""57"">yes</td>
</tr>
<tr>
<td data-row=""58"">Filling hardness</td>
<td data-row=""58"">soft</td>
</tr>
<tr>
<td data-row=""59"">Style positioning</td>
<td data-row=""59"">Quality Luxury</td>
</tr>
<tr>
<td data-row=""60"">Installation Instructions Details</td>
<td data-row=""60"">Provide installation instructions Provide simple installation tools</td>
</tr>
</tbody>
</table>
<p><br></p>
<p><img alt=""TB1nj2JDXOWBuNjy0FiXXXFxVXa-84-82.png"" src=""https://img.alicdn.com/tfs/TB1nj2JDXOWBuNjy0FiXXXFxVXa-84-82.png""></p>
<p>公益宝贝</p>
<p>每笔成交将为 焕新乐园-低保家庭儿童关爱 捐赠 0.02元 ，已累计捐赠 2690 笔。</p>
<p><img alt=""O1CN01oYY1QU1ZEFAlbhACZ_!!2883553162.jpg"" src=""https://img.alicdn.com/imgextra/i1/2883553162/O1CN01oYY1QU1ZEFAlbhACZ_!!2883553162.jpg""></p>
<p><img alt=""O1CN01EUK9Ar1ZEF7PXwUOS_!!2883553162.jpg"" src=""https://img.alicdn.com/imgextra/i4/2883553162/O1CN01EUK9Ar1ZEF7PXwUOS_!!2883553162.jpg""></p>
<p><img alt=""O1CN01gf8r7s1ZEFAfOieLO_!!2883553162.jpg"" src=""https://img.alicdn.com/imgextra/i2/2883553162/O1CN01gf8r7s1ZEFAfOieLO_!!2883553162.jpg""></p>
<p><img alt=""O1CN01BK5BAJ1ZEFApLohkY_!!2883553162.jpg"" src=""https://img.alicdn.com/imgextra/i4/2883553162/O1CN01BK5BAJ1ZEFApLohkY_!!2883553162.jpg""></p>
<p><img alt=""O1CN01VojSCP1ZEFAjeIEuU_!!2883553162.jpg"" src=""https://img.alicdn.com/imgextra/i3/2883553162/O1CN01VojSCP1ZEFAjeIEuU_!!2883553162.jpg""></p>
<p><img alt=""O1CN01ijrCbd1ZEFAgmVVTE_!!2883553162.jpg"" src=""https://img.alicdn.com/imgextra/i1/2883553162/O1CN01ijrCbd1ZEFAgmVVTE_!!2883553162.jpg""></p>
<p><img alt=""O1CN015EBnLb1ZEFAgmVAhb_!!2883553162.jpg"" src=""https://img.alicdn.com/imgextra/i4/2883553162/O1CN015EBnLb1ZEFAgmVAhb_!!2883553162.jpg""></p>
<p><img alt=""O1CN01Bot9fe1ZEFAgmVhx3_!!2883553162.jpg"" src=""https://img.alicdn.com/imgextra/i1/2883553162/O1CN01Bot9fe1ZEFAgmVhx3_!!2883553162.jpg""></p>
<p><img alt=""O1CN01maAkKC1ZEFAgmU6Bg_!!2883553162.jpg"" src=""https://img.alicdn.com/imgextra/i2/2883553162/O1CN01maAkKC1ZEFAgmU6Bg_!!2883553162.jpg""></p>
<p><img alt=""O1CN01I2qwz61ZEFAai9wan_!!2883553162.jpg"" src=""https://img.alicdn.com/imgextra/i3/2883553162/O1CN01I2qwz61ZEFAai9wan_!!2883553162.jpg""></p>
<p><img alt=""O1CN01Jvoo211ZEFAaiAwym_!!2883553162.jpg"" src=""https://img.alicdn.com/imgextra/i4/2883553162/O1CN01Jvoo211ZEFAaiAwym_!!2883553162.jpg""></p>
<p><img alt=""O1CN01RQxY1X1ZEFAk54x80_!!2883553162.jpg"" src=""https://img.alicdn.com/imgextra/i3/2883553162/O1CN01RQxY1X1ZEFAk54x80_!!2883553162.jpg""></p>
<p><img alt=""O1CN01HBfiDC1ZEFAk54ker_!!2883553162.jpg"" src=""https://img.alicdn.com/imgextra/i4/2883553162/O1CN01HBfiDC1ZEFAk54ker_!!2883553162.jpg""></p>
<p><img alt=""O1CN01vLyv681ZEFAlbj2e1_!!2883553162.jpg"" src=""https://img.alicdn.com/imgextra/i4/2883553162/O1CN01vLyv681ZEFAlbj2e1_!!2883553162.jpg""></p>
<p><img alt=""O1CN01q8xVXt1ZEF7LVkCvO_!!2883553162.jpg"" src=""https://img.alicdn.com/imgextra/i3/2883553162/O1CN01q8xVXt1ZEF7LVkCvO_!!2883553162.jpg""></p>
<p><img alt=""O1CN01hTNxSO1ZEFAgmV2OD_!!2883553162.jpg"" src=""https://img.alicdn.com/imgextra/i3/2883553162/O1CN01hTNxSO1ZEFAgmV2OD_!!2883553162.jpg""></p>
<p><img alt=""O1CN0154LWE81ZEFAq1xZx4_!!2883553162.jpg"" src=""https://img.alicdn.com/imgextra/i1/2883553162/O1CN0154LWE81ZEFAq1xZx4_!!2883553162.jpg""></p>
<p><img alt=""O1CN01g27oyE1ZEFAjk1vKT_!!2883553162.jpg"" src=""https://img.alicdn.com/imgextra/i3/2883553162/O1CN01g27oyE1ZEFAjk1vKT_!!2883553162.jpg""></p>
<p><img alt=""O1CN01lsk8zj1ZEFAoIQiyp_!!2883553162.jpg"" src=""https://img.alicdn.com/imgextra/i4/2883553162/O1CN01lsk8zj1ZEFAoIQiyp_!!2883553162.jpg""></p>
<p><img alt=""O1CN01tYHFfg1ZEFAjk2G7n_!!2883553162.jpg"" src=""https://img.alicdn.com/imgextra/i3/2883553162/O1CN01tYHFfg1ZEFAjk2G7n_!!2883553162.jpg""></p>
<p><img alt=""O1CN01c1KEI01ZEFAlDbPvy_!!2883553162.jpg"" src=""https://img.alicdn.com/imgextra/i1/2883553162/O1CN01c1KEI01ZEFAlDbPvy_!!2883553162.jpg""></p>
<p><img alt=""O1CN01Lcbnl91ZEFAmps8Ov_!!2883553162.jpg"" src=""https://img.alicdn.com/imgextra/i2/2883553162/O1CN01Lcbnl91ZEFAmps8Ov_!!2883553162.jpg""></p>
<p><img alt=""O1CN019Cj48w1ZEFAq1wN98_!!2883553162.jpg"" src=""https://img.alicdn.com/imgextra/i4/2883553162/O1CN019Cj48w1ZEFAq1wN98_!!2883553162.jpg""></p>
<p><img alt=""TB1d0h2qVYqK1RjSZLeXXbXppXa-1125-960.png"" src=""//gw.alicdn.com/tfs/TB1d0h2qVYqK1RjSZLeXXbXppXa-1125-960.png?getAvatar=avatar""></p>",Clearance Furniture.com,Home & Garden,"","",true,Pick a color and material,Excellence White Type A - skin-friendly flannelette environmental protection high resilience sponge skin-friendly f...,Pick a size,85cm for a single person,,,'5029864679515,2000.0,shopify,deny,manual,161.61,484.83,true,true,,https://cdn.shopify.com/s/files/1/0781/7671/5035/products/2295108.jpg?v=1688506965,1,,false,,Creamy Sofa for Small Apartments: Ideal for Clothing Stores Homestays and Card Seats,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0781/7671/5035/files/5668_2293907.jpg?v=1688507572,kg,,53.87,true,true,,,true,,,active
creamy-sofa-for-small-apartments-ideal-for-clothing-stores-homestays-and-card-seats,,,,,,,,,Excellence White Type A - skin-friendly flannelette environmental protection high resilience sponge skin-friendly f...,,double seat 0cm,,,'5029864679516,2000.0,shopify,deny,manual,228.93,686.79,true,true,,https://cdn.shopify.com/s/files/1/0781/7671/5035/products/2295118.jpg?v=1688506965,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0781/7671/5035/files/495_2293933.jpg?v=1688507558,kg,,76.31,,,,,,,,
creamy-sofa-for-small-apartments-ideal-for-clothing-stores-homestays-and-card-seats,,,,,,,,,Excellence White Type A - skin-friendly flannelette environmental protection high resilience sponge skin-friendly f...,,Large double seat 40cm,,,'5029864679517,2000.0,shopify,deny,manual,264.57,793.71,true,true,,https://cdn.shopify.com/s/files/1/0781/7671/5035/products/2295120.jpg?v=1688506965,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0781/7671/5035/files/9649_2293939.jpg?v=1688507556,kg,,88.19,,,,,,,,
creamy-sofa-for-small-apartments-ideal-for-clothing-stores-homestays-and-card-seats,,,,,,,,,Excellence White Type A - skin-friendly flannelette environmental protection high resilience sponge skin-friendly f...,,three people 60cm,,,'5029864679518,2000.0,shopify,deny,manual,304.17,912.51,true,true,,https://cdn.shopify.com/s/files/1/0781/7671/5035/products/2295129.jpg?v=1688506965,4,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0781/7671/5035/files/49_2293943.jpg?v=1688507554,kg,,101.39,,,,,,,,
creamy-sofa-for-small-apartments-ideal-for-clothing-stores-homestays-and-card-seats,,,,,,,,,Excellence White Type A - skin-friendly flannelette environmental protection high resilience sponge skin-friendly f...,,juniors seat 80cm,,,'5029864679519,2000.0,shopify,deny,manual,327.93,983.79,true,true,,https://cdn.shopify.com/s/files/1/0781/7671/5035/products/2295139.jpg?v=1688506965,5,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0781/7671/5035/files/6864_2293949.jpg?v=1688507549,kg,,109.31,,,,,,,,
creamy-sofa-for-small-apartments-ideal-for-clothing-stores-homestays-and-card-seats,,,,,,,,,Excellence White Type A - skin-friendly flannelette environmental protection high resilience sponge skin-friendly f...,,Four people 0cm,,,'5029864679520,2000.0,shopify,deny,manual,371.49,1114.47,true,true,,https://cdn.shopify.com/s/files/1/0781/7671/5035/products/2295147.jpg?v=1688506965,6,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0781/7671/5035/files/8903_2293954.jpg?v=1688507547,kg,,123.83,,,,,,,,
creamy-sofa-for-small-apartments-ideal-for-clothing-stores-homestays-and-card-seats,,,,,,,,,Creamy apricot-skin-friendly flannelette environmental protection high resilience sponge skin-friendly fabric,,85cm for a single person,,,'4951514701987,2000.0,shopify,deny,manual,161.61,484.83,true,true,,https://cdn.shopify.com/s/files/1/0781/7671/5035/files/4753_2294759.jpg?v=1688506989,7,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0781/7671/5035/files/7109_2293959.jpg?v=1688507543,kg,,53.87,,,,,,,,
creamy-sofa-for-small-apartments-ideal-for-clothing-stores-homestays-and-card-seats,,,,,,,,,Creamy apricot-skin-friendly flannelette environmental protection high resilience sponge skin-friendly fabric,,double seat 0cm,,,'4951514701999,2000.0,shopify,deny,manual,228.93,686.79,true,true,,https://cdn.shopify.com/s/files/1/0781/7671/5035/files/7292_2294753.jpg?v=1688506997,8,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0781/7671/5035/files/3698_2293969.jpg?v=1688507529,kg,,76.31,,,,,,,,
creamy-sofa-for-small-apartments-ideal-for-clothing-stores-homestays-and-card-seats,,,,,,,,,Creamy apricot-skin-friendly flannelette environmental protection high resilience sponge skin-friendly fabric,,Large double seat 40cm,,,'4946972024003,2000.0,shopify,deny,manual,264.57,793.71,true,true,,https://cdn.shopify.com/s/files/1/0781/7671/5035/files/1875_2294747.jpg?v=1688507002,9,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0781/7671/5035/files/46_2293974.jpg?v=1688507527,kg,,88.19,,,,,,,,
creamy-sofa-for-small-apartments-ideal-for-clothing-stores-homestays-and-card-seats,,,,,,,,,Creamy apricot-skin-friendly flannelette environmental protection high resilience sponge skin-friendly fabric,,three people 60cm,,,'4951514701995,2000.0,shopify,deny,manual,304.17,912.51,true,true,,https://cdn.shopify.com/s/files/1/0781/7671/5035/files/9176_2294731.jpg?v=1688507013,10,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0781/7671/5035/files/4754_2293978.jpg?v=1688507521,kg,,101.39,,,,,,,,
